Policy_ID,Customer_ID,Agent_ID,Product,Branch,Policy_Start_Date,Policy_End_Date,Premium,Sum_Insured,Policy_Status,Customer_Name,City,State,Source_File,Policy_Duration_Days,Premium_Band,Data_Quality_Flag
POL008579,CUST02240,AG099,Commercial Property,East,2026-07-17,2027-07-17,896472.0,80682480,Cancelled,Urishilla Mann,Kolkata,Tripura,East_Travel.xlsx,365,Ultra High,OK
POL008783,CUST00032,AG033,Motor,East,2026-07-17,2027-07-17,9953.0,846005,Cancelled,Krish Batra,Jaipur,Manipur,East_Travel.xlsx,365,Low,OK
POL002648,CUST00858,AG010,Commercial Property,East,2026-07-17,2027-07-17,462018.0,32341260,Expired,Jagdish Shukla,Mumbai,Telangana,East_Travel.xlsx,365,Very High,OK
POL007490,CUST02181,AG034,Travel,East,2026-07-16,2027-07-16,12397.0,1202509,Active,Ethan Chaudhuri,Delhi,West Bengal,East_Travel.xlsx,365,Medium,OK
POL002561,CUST01704,AG087,Marine,East,2026-07-15,2027-07-15,105223.0,7681279,Active,Mohini Kari,Chennai,Rajasthan,East_Travel.xlsx,365,Very High,OK
POL004391,CUST01890,AG022,Marine,East,2026-07-15,2027-07-15,101025.0,3030750,Expired,Andrew Dhaliwal,Chandigarh,Telangana,East_Travel.xlsx,365,Very High,OK
POL004494,CUST01625,AG099,Travel,East,2026-07-15,2027-07-15,13415.0,697580,Renewed,Suhani Bal,Chennai,Andhra Pradesh,East_Travel.xlsx,365,Medium,OK
POL004746,CUST01037,AG066,Home,East,2026-07-15,2027-07-15,21149.0,1395834,Active,Aayush Chandra,Bangalore,Tripura,East_Travel.xlsx,365,Medium,OK
POL009797,CUST01220,AG027,Travel,East,2026-07-14,2027-07-14,7840.0,486080,Renewed,Abha Hayer,Mumbai,Meghalaya,East_Travel.xlsx,365,Low,OK
POL002586,CUST02963,AG077,Commercial Property,East,2026-07-14,2027-07-14,888150.0,74604600,Expired,Wridesh Pandya,Pune,Mizoram,East_Travel.xlsx,365,Ultra High,OK
POL002169,CUST02803,AG043,Travel,East,2026-07-14,2027-07-14,11955.0,406470,Lapsed,Krisha Sandhu,Bhubaneswar,Uttar Pradesh,East_Travel.xlsx,365,Medium,OK
POL006762,CUST01931,AG080,Travel,East,2026-07-12,2027-07-12,14696.0,705408,Lapsed,David Desai,Bhubaneswar,Mizoram,East_Travel.xlsx,365,Medium,OK
POL008051,CUST02088,AG026,Commercial Property,East,2026-07-10,2027-07-10,975098.0,29252940,Lapsed,Siya Prasad,Bhubaneswar,Punjab,East_Travel.xlsx,365,Ultra High,OK
POL005377,CUST02609,AG046,Marine,East,2026-07-10,2027-07-10,164000.0,15744000,Lapsed,Dhruv Ramakrishnan,Ahmedabad,Gujarat,East_Travel.xlsx,365,Very High,OK
POL001941,CUST01506,AG063,Marine,East,2026-07-10,2027-07-10,99285.0,8836365,Expired,Vivaan Sura,Jaipur,Himachal Pradesh,East_Travel.xlsx,365,High,OK
POL002270,CUST02953,AG061,Marine,East,2026-07-10,2027-07-10,99550.0,3782900,Expired,Chatresh Pandey,Patna,Bihar,East_Travel.xlsx,365,High,OK
POL002912,CUST00030,AG081,Motor,East,2026-07-09,2027-07-09,30634.0,1286628,Cancelled,Sudiksha Munshi,Delhi,Madhya Pradesh,East_Travel.xlsx,365,Medium,OK
POL008850,CUST02852,AG039,Home,East,2026-07-08,2027-07-08,35902.0,2962701,Cancelled,Barkha Ganguly,Jaipur,Tripura,East_Travel.xlsx,365,Medium,OK
POL002767,CUST01081,AG017,Home,East,2026-07-08,2027-07-08,46762.0,3086292,Renewed,Unknown,Mumbai,Nagaland,East_Travel.xlsx,365,Medium,Review
POL009201,CUST00564,AG109,Marine,East,2026-07-07,2027-07-07,105153.0,3890661,Active,Gabriel Deshmukh,Patna,Andhra Pradesh,East_Travel.xlsx,365,Very High,OK
POL008168,CUST02141,AG057,Home,East,2026-07-06,2027-07-06,44585.0,1382135,Active,Jonathan Gupta,Bhubaneswar,Tripura,East_Travel.xlsx,365,Medium,OK
POL002446,CUST02376,AG013,Motor,East,2026-07-06,2027-07-06,16821.0,1110186,Expired,Nicholas Batra,Chennai,Chhattisgarh,East_Travel.xlsx,365,Medium,OK
POL007266,CUST01874,AG001,Travel,East,2026-07-06,2027-07-06,19699.0,1674415,Expired,Sai Iyengar,Patna,Uttarakhand,East_Travel.xlsx,365,Medium,OK
POL004271,CUST01581,AG114,Travel,East,2026-07-06,2027-07-06,5788.0,144700,Cancelled,Kevin Uppal,Delhi,Tamil Nadu,East_Travel.xlsx,365,Low,OK
POL006720,CUST01853,AG060,Commercial Property,East,2026-07-06,2027-07-06,827155.0,31431890,Renewed,Azaan Chahal,Pune,Goa,East_Travel.xlsx,365,Ultra High,OK
POL006533,CUST02075,AG047,Home,East,2026-07-05,2027-07-05,59910.0,4313520,Expired,Girindra Chakraborty,Mumbai,Jharkhand,East_Travel.xlsx,365,High,OK
POL007447,CUST01763,AG114,Marine,East,2026-07-04,2027-07-04,103542.0,4452306,Renewed,Chaitanya Mishra,Hyderabad,West Bengal,East_Travel.xlsx,365,Very High,OK
POL007717,CUST02389,AG029,Marine,East,2026-07-03,2027-07-03,127898.0,10359738,Cancelled,Lekha Ahuja,Chandigarh,Karnataka,East_Travel.xlsx,365,Very High,OK
POL006127,CUST01302,AG033,Travel,East,2026-07-02,2027-07-02,3034.0,154734,Active,Peter Chaudry,Bhubaneswar,Meghalaya,East_Travel.xlsx,365,Low,OK
POL002226,CUST02809,AG014,Home,East,2026-07-02,2027-07-02,19153.0,1072568,Expired,David Banik,Ahmedabad,Jharkhand,East_Travel.xlsx,365,Medium,OK
POL002612,CUST01448,AG077,Home,East,2026-07-01,2027-07-01,14787.0,857646,Active,Chandani Dubey,Hyderabad,Assam,East_Travel.xlsx,365,Medium,OK
POL009927,CUST02852,AG079,Travel,East,2026-07-01,2027-07-01,19332.0,1565892,Expired,Barkha Ganguly,Jaipur,Tripura,East_Travel.xlsx,365,Medium,OK
POL006328,CUST01690,AG062,Home,East,2026-06-30,2027-06-30,51700.0,4446200,Renewed,Maanas Vala,Ahmedabad,West Bengal,East_Travel.xlsx,365,High,OK
POL008167,CUST00490,AG041,Home,East,2026-06-30,2027-06-30,13494.0,418314,Cancelled,Barkha Sood,Mumbai,Nagaland,East_Travel.xlsx,365,Medium,OK
POL005771,CUST02081,AG119,Home,East,2026-06-29,2027-06-29,16809.0,1563237,Cancelled,Irya Rama,Jaipur,Andhra Pradesh,East_Travel.xlsx,365,Medium,OK
POL009106,CUST01328,AG104,Home,East,2026-06-28,2027-06-28,27172.0,1793352,Renewed,Zarna Misra,Delhi,Jharkhand,East_Travel.xlsx,365,Medium,OK
POL007965,CUST01259,AG052,Marine,East,2026-06-28,2027-06-28,150845.0,5128730,Active,Kalpit Sehgal,Hyderabad,Uttar Pradesh,East_Travel.xlsx,365,Very High,OK
POL008988,CUST02822,AG079,Home,East,2026-06-28,2027-06-28,31107.0,746568,Lapsed,Manya Sandal,Jaipur,Manipur,East_Travel.xlsx,365,Medium,OK
POL000628,CUST02833,AG040,Home,East,2026-06-26,2027-06-26,28542.0,2055024,Cancelled,Veer Raman,Chennai,Meghalaya,East_Travel.xlsx,365,Medium,OK
POL001443,CUST01262,AG010,Commercial Property,East,2026-06-25,2027-06-25,353927.0,33623065,Active,Unknown,Bangalore,Gujarat,East_Travel.xlsx,365,Very High,Review
POL005982,CUST01421,AG108,Commercial Property,East,2026-06-25,2027-06-25,340325.0,9869425,Expired,Jeet Mittal,Bangalore,Uttar Pradesh,East_Travel.xlsx,365,Very High,OK
POL002928,CUST00452,AG078,Marine,East,2026-06-24,2027-06-24,35902.0,7955964,Cancelled,Lila Kota,Ahmedabad,Jharkhand,East_Travel.xlsx,365,Medium,OK
POL009569,CUST00644,AG024,Travel,East,2026-06-24,2027-06-24,9912.0,247800,Renewed,Libni Dhillon,Patna,Kerala,East_Travel.xlsx,365,Low,OK
POL008795,CUST02600,AG019,Home,East,2026-06-23,2027-06-23,35902.0,2179808,Cancelled,Fiyaz Taneja,Bhubaneswar,Telangana,East_Travel.xlsx,365,Medium,OK
POL001552,CUST02283,AG111,Travel,East,2026-06-22,2027-06-22,1978.0,146372,Lapsed,Qabil Iyer,Bhubaneswar,Sikkim,East_Travel.xlsx,365,Low,OK
POL005995,CUST02578,AG014,Commercial Property,East,2026-06-21,2027-06-21,470497.0,33875784,Renewed,Mohini Chacko,Patna,Kerala,East_Travel.xlsx,365,Very High,OK
POL004822,CUST00616,AG061,Marine,East,2026-06-21,2027-06-21,104345.0,8138910,Active,Januja Saini,Hyderabad,Punjab,East_Travel.xlsx,365,Very High,OK
POL007576,CUST00321,AG104,Motor,East,2026-06-21,2027-06-21,31838.0,1018816,Cancelled,Ekalinga Nazareth,Patna,Assam,East_Travel.xlsx,365,Medium,OK
POL003717,CUST00393,AG009,Marine,East,2026-06-21,2027-06-21,94960.0,6077440,Cancelled,Gabriel Agate,Ahmedabad,Telangana,East_Travel.xlsx,365,High,OK
POL009744,CUST01225,AG092,Home,East,2026-06-19,2027-06-19,57988.0,2145556,Lapsed,Jeet Varughese,Ahmedabad,Uttar Pradesh,East_Travel.xlsx,365,High,OK
POL005449,CUST02974,AG096,Marine,East,2026-06-19,2027-06-19,118100.0,5786900,Renewed,Ekbal Bava,Delhi,Punjab,East_Travel.xlsx,365,Very High,OK
POL008410,CUST02389,AG114,Home,East,2026-06-19,2027-06-19,28035.0,2579220,Lapsed,Lekha Ahuja,Chandigarh,Karnataka,East_Travel.xlsx,365,Medium,OK
POL008619,CUST01769,AG074,Marine,East,2026-06-19,2027-06-19,154617.0,11905509,Cancelled,Bahadurjit Uppal,Bangalore,Mizoram,East_Travel.xlsx,365,Very High,OK
POL000868,CUST02100,AG096,Marine,East,2026-06-18,2027-06-18,91186.0,5015230,Expired,Upma Gill,Bhubaneswar,Punjab,East_Travel.xlsx,365,High,OK
POL008349,CUST01352,AG065,Commercial Property,East,2026-06-18,2027-06-18,56052.0,4484160,Lapsed,Nathan Bahl,Bhubaneswar,Uttar Pradesh,East_Travel.xlsx,365,High,OK
POL004289,CUST02965,AG074,Home,East,2026-06-18,2027-06-18,35523.0,3268116,Expired,Noah Sant,Bangalore,Manipur,East_Travel.xlsx,365,Medium,OK
POL003616,CUST01912,AG085,Marine,East,2026-06-17,2027-06-17,128416.0,2953568,Renewed,Chameli Wagle,Pune,Telangana,East_Travel.xlsx,365,Very High,OK
POL004065,CUST00715,AG067,Home,East,2026-06-17,2027-06-17,38512.0,3042448,Expired,Azad Vyas,Pune,Telangana,East_Travel.xlsx,365,Medium,OK
POL004413,CUST00672,AG102,Motor,East,2026-06-16,2027-06-16,11310.0,859560,Renewed,Mekhala Sathe,Mumbai,Uttarakhand,East_Travel.xlsx,365,Medium,OK
POL002026,CUST00284,AG077,Marine,East,2026-06-16,2027-06-16,35902.0,8927604,Renewed,Tarak Sahni,Hyderabad,Meghalaya,East_Travel.xlsx,365,Medium,OK
POL005067,CUST01098,AG109,Marine,East,2026-06-15,2027-06-15,32603.0,2249607,Cancelled,Maanas Balakrishnan,Bangalore,Telangana,East_Travel.xlsx,365,Medium,OK
POL003293,CUST02308,AG007,Home,East,2026-06-15,2027-06-15,35189.0,1689072,Renewed,Avi Kaul,Kolkata,Madhya Pradesh,East_Travel.xlsx,365,Medium,OK
POL002261,CUST02064,AG052,Motor,East,2026-06-15,2027-06-15,18490.0,739600,Expired,Frado Randhawa,Patna,Manipur,East_Travel.xlsx,365,Medium,OK
POL000841,CUST01095,AG010,Home,East,2026-06-14,2027-06-14,37182.0,3086106,Expired,Ekalinga Shankar,Mumbai,Chhattisgarh,East_Travel.xlsx,365,Medium,OK
POL007471,CUST02606,AG004,Marine,East,2026-06-14,2027-06-14,77425.0,2787300,Renewed,Fiyaz Mukherjee,Bangalore,Punjab,East_Travel.xlsx,365,High,OK
POL008142,CUST00032,AG019,Travel,East,2026-06-13,2027-06-13,4904.0,402128,Expired,Krish Batra,Jaipur,Manipur,East_Travel.xlsx,365,Low,OK
POL009905,CUST00573,AG076,Motor,East,2026-06-13,2027-06-13,36908.0,1107240,Expired,Ishwar Krishnan,Jaipur,Meghalaya,East_Travel.xlsx,365,Medium,OK
POL009557,CUST01642,AG066,Home,East,2026-06-13,2027-06-13,60097.0,1201940,Active,Upkaar Sachdeva,Patna,Andhra Pradesh,East_Travel.xlsx,365,High,OK
POL008226,CUST01894,AG097,Travel,East,2026-06-12,2027-06-12,7434.0,505512,Expired,Samarth Mallick,Kolkata,West Bengal,East_Travel.xlsx,365,Low,OK
POL004975,CUST01918,AG101,Travel,East,2026-06-12,2027-06-12,18962.0,1422150,Lapsed,Om Mahajan,Hyderabad,Haryana,East_Travel.xlsx,365,Medium,OK
POL005434,CUST01204,AG007,Motor,East,2026-06-12,2027-06-12,32307.0,1356894,Lapsed,Vrinda Patel,Delhi,Jharkhand,East_Travel.xlsx,365,Medium,OK
POL005224,CUST02775,AG009,Home,East,2026-06-12,2027-06-12,59252.0,5095672,Lapsed,Wyatt Bajwa,Mumbai,Gujarat,East_Travel.xlsx,365,High,OK
POL008911,CUST01061,AG069,Commercial Property,East,2026-06-12,2027-06-12,238395.0,20978760,Expired,Victor Golla,Hyderabad,Arunachal Pradesh,East_Travel.xlsx,365,Very High,OK
POL002591,CUST01968,AG107,Marine,East,2026-06-12,2027-06-12,87115.0,6272280,Renewed,Dalaja Khare,Jaipur,Arunachal Pradesh,East_Travel.xlsx,365,High,OK
POL007945,CUST02027,AG021,Commercial Property,East,2026-06-11,2027-06-11,986500.0,46365500,Active,Veer Khanna,Chennai,Uttarakhand,East_Travel.xlsx,365,Ultra High,OK
POL008322,CUST02307,AG029,Travel,East,2026-06-11,2027-06-11,13285.0,1262075,Cancelled,Shravya Nadig,Jaipur,Uttarakhand,East_Travel.xlsx,365,Medium,OK
POL007061,CUST02340,AG118,Commercial Property,East,2026-06-11,2027-06-11,881969.0,46744357,Renewed,Girindra Karnik,Jaipur,Tamil Nadu,East_Travel.xlsx,365,Ultra High,OK
POL003560,CUST01308,AG108,Home,East,2026-06-10,2027-06-10,11656.0,967448,Active,Megha Rattan,Mumbai,Assam,East_Travel.xlsx,365,Medium,OK
POL000124,CUST01361,AG071,Motor,East,2026-06-10,2027-06-10,39411.0,1458207,Expired,Aradhana Rege,Delhi,Telangana,East_Travel.xlsx,365,Medium,OK
POL003297,CUST01048,AG099,Travel,East,2026-06-08,2027-06-08,8377.0,561259,Cancelled,Harshil Varma,Delhi,Chhattisgarh,East_Travel.xlsx,365,Low,OK
POL005666,CUST00835,AG067,Motor,East,2026-06-07,2027-06-07,35902.0,799634,Renewed,Charan Boase,Chandigarh,Punjab,East_Travel.xlsx,365,Medium,OK
POL000326,CUST01642,AG060,Home,East,2026-06-06,2027-06-06,43828.0,3944520,Expired,Upkaar Sachdeva,Patna,Andhra Pradesh,East_Travel.xlsx,365,Medium,OK
POL007926,CUST02672,AG020,Motor,East,2026-06-06,2027-06-06,31866.0,1465836,Renewed,Chasmum Gill,Patna,Nagaland,East_Travel.xlsx,365,Medium,OK
POL007290,CUST00627,AG019,Commercial Property,East,2026-06-05,2027-06-05,600988.0,52285956,Active,Meghana Ramesh,Pune,Bihar,East_Travel.xlsx,365,Ultra High,OK
POL003758,CUST00599,AG042,Home,East,2026-06-05,2027-06-05,65939.0,4351974,Renewed,Maanas Chandra,Chandigarh,Kerala,East_Travel.xlsx,365,High,OK
POL000407,CUST00844,AG073,Commercial Property,East,2026-06-04,2027-06-04,217201.0,9339643,Active,Balendra Lata,Jaipur,Himachal Pradesh,East_Travel.xlsx,365,Very High,OK
POL002513,CUST01790,AG028,Commercial Property,East,2026-06-03,2027-06-03,781412.0,64075784,Lapsed,Darsh Saran,Pune,Tamil Nadu,East_Travel.xlsx,365,Ultra High,OK
POL004982,CUST00204,AG098,Marine,East,2026-06-02,2027-06-02,23766.0,1330896,Renewed,Ekta Shan,Jaipur,Tamil Nadu,East_Travel.xlsx,365,Medium,OK
POL008385,CUST01384,AG028,Marine,East,2026-06-02,2027-06-02,182748.0,8040912,Expired,Patrick Mahal,Pune,Madhya Pradesh,East_Travel.xlsx,365,Very High,OK
POL001878,CUST02190,AG100,Home,East,2026-06-02,2027-06-02,63337.0,5193634,Cancelled,Yashvi Chopra,Kolkata,Assam,East_Travel.xlsx,365,High,OK
POL007221,CUST00236,AG118,Home,East,2026-06-01,2027-06-01,34859.0,2684143,Cancelled,Tarak Gola,Patna,Maharashtra,East_Travel.xlsx,365,Medium,OK
POL005128,CUST02444,AG001,Commercial Property,East,2026-06-01,2027-06-01,741808.0,64537296,Renewed,Faras Batta,Patna,Himachal Pradesh,East_Travel.xlsx,365,Ultra High,OK
POL006422,CUST00228,AG091,Motor,East,2026-06-01,2027-06-01,25582.0,1867486,Lapsed,Ikshita Chowdhury,Hyderabad,Andhra Pradesh,East_Travel.xlsx,365,Medium,OK
POL005710,CUST00703,AG048,Motor,East,2026-05-30,2027-05-30,25318.0,2152030,Expired,Nilima Deo,Patna,Odisha,East_Travel.xlsx,365,Medium,OK
POL009571,CUST02845,AG020,Motor,East,2026-05-30,2027-05-30,18110.0,1340140,Expired,Darpan Vala,Jaipur,Goa,East_Travel.xlsx,365,Medium,OK
POL006958,CUST00684,AG111,Motor,East,2026-05-30,2027-05-30,38200.0,1146000,Cancelled,Anita Bakshi,Ahmedabad,Tripura,East_Travel.xlsx,365,Medium,OK
POL009932,CUST02041,AG114,Commercial Property,East,2026-05-30,2027-05-30,317649.0,7305927,Lapsed,Guneet Prabhu,Mumbai,Madhya Pradesh,East_Travel.xlsx,365,Very High,OK
POL009193,CUST02260,AG006,Home,East,2026-05-29,2027-05-29,29259.0,2282202,Expired,Harish Nori,Delhi,Telangana,East_Travel.xlsx,365,Medium,OK
POL009775,CUST02621,AG070,Travel,East,2026-05-29,2027-05-29,4831.0,294691,Active,Benjamin Narayanan,Patna,Rajasthan,East_Travel.xlsx,365,Low,OK
POL006767,CUST00458,AG006,Home,East,2026-05-28,2027-05-28,56779.0,3122845,Active,Unknown,Hyderabad,Odisha,East_Travel.xlsx,365,High,Review
POL006577,CUST00839,AG115,Travel,East,2026-05-28,2027-05-28,18318.0,1703574,Lapsed,Ekta Sanghvi,Jaipur,Assam,East_Travel.xlsx,365,Medium,OK
POL005605,CUST00162,AG081,Home,East,2026-05-28,2027-05-28,52656.0,3633264,Active,Aahana Nagi,Chandigarh,Telangana,East_Travel.xlsx,365,High,OK
POL004059,CUST02004,AG071,Travel,East,2026-05-27,2027-05-27,35902.0,143388,Renewed,Nitesh Kale,Patna,Tripura,East_Travel.xlsx,365,Medium,OK
POL009607,CUST01448,AG034,Commercial Property,East,2026-05-27,2027-05-27,926287.0,91702413,Lapsed,Chandani Dubey,Hyderabad,Assam,East_Travel.xlsx,365,Ultra High,OK
POL007657,CUST00495,AG023,Home,East,2026-05-27,2027-05-27,56393.0,2142934,Expired,Ethan Parmer,Ahmedabad,Uttarakhand,East_Travel.xlsx,365,High,OK
POL004321,CUST01858,AG037,Motor,East,2026-05-27,2027-05-27,13289.0,1328900,Cancelled,Sudiksha Patel,Ahmedabad,Chhattisgarh,East_Travel.xlsx,365,Medium,OK
